Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,103.12,103.43,101.73,102.98,12531500,97.16,0.0,97.16,97.16
2016-01-05,2016,1,5,Tuesday,01,2016-01,102.67,102.67,99.89,100.9,16212900,95.19,-0.020198043064762694,96.175,96.175
2016-01-06,2016,1,6,Wednesday,01,2016-01,99.38,101.46,99.36,100.36,13934500,94.68,-0.005351765044570911,95.67666666666666,95.67666666666666
2016-01-07,2016,1,7,Thursday,01,2016-01,98.96,101.35,98.52,99.5,14680200,93.87,-0.008569172172055106,95.225,95.225
2016-01-08,2016,1,8,Friday,01,2016-01,100.63,100.92,99.0,99.25,10691600,93.64,-0.0025127457824931643,94.908,94.908
2016-01-11,2016,1,11,Monday,02,2016-02,100.21,100.45,98.55,99.92,9583200,94.27,0.006750751009133582,94.80166666666666,94.80166666666666
2016-01-12,2016,1,12,Tuesday,02,2016-02,100.97,101.85,100.34,101.46,8863900,95.72,0.0154121809264256,94.93285714285715,94.93285714285715
2016-01-13,2016,1,13,Wednesday,02,2016-02,101.88,101.88,98.12,98.48,11615400,92.91,-0.029371043050542056,94.68,94.68
2016-01-14,2016,1,14,Thursday,02,2016-02,98.65,99.91,97.19,99.11,11147500,93.5,0.0063972247516144165,94.5488888888889,94.5488888888889
2016-01-15,2016,1,15,Friday,02,2016-02,95.62,96.88,93.46,93.9,22337000,88.59,-0.052567828469068045,93.953,93.953
2016-01-19,2016,1,19,Tuesday,03,2016-03,95.0,95.07,93.03,93.97,13286800,88.66,0.0007455489042447194,93.4718181818182,93.4718181818182
2016-01-20,2016,1,20,Wednesday,03,2016-03,92.18,93.64,90.42,92.54,16918100,87.31,-0.01521767716249478,92.95833333333333,92.95833333333333
2016-01-21,2016,1,21,Thursday,03,2016-03,92.87,94.86,92.3,94.02,12078200,88.7,0.01599296992336985,92.63076923076923,92.63076923076923
2016-01-22,2016,1,22,Friday,03,2016-03,95.95,97.42,95.55,96.9,12303800,91.42,0.03063179309670372,92.5442857142857,92.5442857142857
2016-01-25,2016,1,25,Monday,04,2016-04,96.42,96.68,95.12,95.29,7812200,89.9,-0.016614987371224244,92.02571428571427,92.368
2016-01-26,2016,1,26,Tuesday,04,2016-04,95.49,96.43,95.09,96.27,6915600,90.83,0.010284411249152914,91.71428571428571,92.271875
2016-01-27,2016,1,27,Wednesday,04,2016-04,96.31,96.63,93.87,94.32,6328900,88.99,-0.0202555287005054,91.30785714285715,92.07882352941176
2016-01-28,2016,1,28,Thursday,04,2016-04,95.2,95.2,92.37,93.53,7312700,88.24,-0.008375776223910503,90.90571428571427,91.86555555555555
2016-01-29,2016,1,29,Friday,04,2016-04,94.21,95.82,93.63,95.82,8211600,90.4,0.024484115919097826,90.67428571428572,91.78842105263158
2016-02-01,2016,2,1,Monday,05,2016-05,95.08,95.71,94.7,95.15,7027200,89.77,-0.006992233271252202,90.35285714285715,91.6875
2016-02-02,2016,2,2,Tuesday,05,2016-05,94.0,94.17,92.87,93.12,7244400,87.85,-0.021334755718372844,89.79071428571429,91.5047619047619
2016-02-03,2016,2,3,Wednesday,05,2016-05,94.1,95.41,92.42,95.14,10878000,89.76,0.021692339423150075,89.56571428571428,91.42545454545454
2016-02-04,2016,2,4,Thursday,05,2016-05,94.87,96.73,94.6,95.43,8350300,90.03,0.00304830081645302,89.31785714285715,91.36478260869565
2016-02-05,2016,2,5,Friday,05,2016-05,95.32,95.39,93.47,93.9,8898500,88.59,-0.016032756484360644,89.31785714285715,91.24916666666667
2016-02-08,2016,2,8,Monday,06,2016-06,92.56,92.96,89.51,92.12,13750100,86.91,-0.018956422722525512,89.19285714285715,91.0756
2016-02-09,2016,2,9,Tuesday,06,2016-06,90.15,93.2,89.04,92.32,19237400,87.1,0.00217118693688656,89.17785714285715,90.9226923076923
2016-02-10,2016,2,10,Wednesday,06,2016-06,88.0,90.03,86.25,88.85,32649800,83.82,-0.03758676925540361,88.8292857142857,90.65962962962963
2016-02-11,2016,2,11,Thursday,06,2016-06,87.0,91.06,86.96,90.31,17523800,85.2,0.016432088540197176,88.385,90.46464285714286
2016-02-12,2016,2,12,Friday,06,2016-06,91.52,91.59,89.61,91.15,10786100,85.99,0.009301606310589738,88.10571428571428,90.3103448275862
2016-02-16,2016,2,16,Tuesday,07,2016-07,92.47,93.31,91.79,92.91,9050900,87.66,0.019308845534381502,87.87928571428573,90.222
